x,y
1018.000,870.000
1016.000,872.000
1018.000,872.000
1020.000,872.000
1020.000,874.000
1018.000,872.000
1020.000,872.000
1020.000,872.000
1020.000,872.000
1020.000,872.000
1020.000,872.000
1020.000,872.000
1020.000,870.000
1020.000,872.000
1020.000,872.000
1020.000,872.000
1020.000,872.000
1020.000,874.000
1018.000,872.000
1018.000,872.000
1018.000,870.000
1018.000,872.000
1018.000,872.000
1018.000,870.000
1018.000,870.000
1016.000,874.000
1020.000,870.000
1018.000,874.000
1016.000,874.000
1016.000,874.000
1018.000,870.000
1014.000,870.000
1014.000,870.000
1014.000,872.000
1014.000,874.000
1014.000,872.000
1014.000,870.000
1014.000,872.000
1016.000,870.000
1010.000,870.000
1014.000,874.000
1012.000,872.000
1012.000,870.000
1012.000,872.000
1012.000,870.000
1012.000,870.000
1012.000,870.000
1012.000,870.000
1012.000,870.000
1012.000,870.000
1012.000,870.000
1012.000,870.000
1014.000,870.000
1012.000,870.000
1012.000,872.000
1012.000,872.000
1012.000,870.000
1016.000,870.000
1016.000,870.000
1014.000,870.000
1014.000,872.000
1014.000,872.000
1014.000,870.000
1016.000,872.000
1014.000,870.000
1014.000,872.000
1016.000,870.000
1016.000,874.000
1016.000,874.000
1018.000,874.000
1016.000,870.000
1020.000,870.000
1018.000,872.000
1016.000,872.000
1020.000,872.000
1018.000,870.000
1018.000,872.000
1018.000,870.000
1020.000,870.000
1018.000,870.000
1020.000,872.000
1020.000,872.000
1020.000,874.000
1020.000,876.000
1020.000,872.000
1020.000,870.000
1020.000,876.000
1020.000,872.000
1020.000,870.000
1020.000,874.000
1020.000,870.000
1020.000,872.000
1018.000,872.000
1016.000,872.000
1016.000,872.000
1020.000,870.000
1018.000,872.000
1018.000,870.000
1020.000,870.000
1018.000,874.000
1018.000,874.000
1016.000,872.000
1016.000,870.000
1016.000,870.000
1014.000,874.000
1014.000,872.000
1014.000,872.000
1014.000,872.000
1014.000,872.000
1014.000,872.000
1014.000,872.000
1012.000,872.000
1012.000,870.000
1012.000,870.000
1012.000,872.000
1014.000,872.000
1012.000,872.000
1014.000,870.000
1012.000,870.000
1012.000,870.000
1014.000,870.000
1014.000,870.000
1014.000,870.000
1014.000,870.000
1014.000,868.000
1014.000,870.000
1016.000,868.000
1012.000,870.000
1012.000,870.000
1016.000,866.000
1014.000,870.000
1018.000,874.000
1020.000,874.000
1024.000,872.000
1028.000,872.000
1032.000,872.000
1032.000,876.000
1042.000,874.000
1048.000,874.000
1052.000,872.000
1060.000,876.000
1068.000,876.000
1078.000,872.000
1088.000,872.000
1096.000,874.000
1110.000,872.000
1124.000,872.000
1134.000,874.000
1144.000,872.000
1156.000,872.000
1170.000,870.000
1182.000,872.000
1192.000,872.000
1204.000,870.000
1218.000,866.000
1226.000,864.000
1242.000,862.000
1248.000,862.000
1256.000,860.000
1264.000,860.000
1272.000,860.000
1282.000,858.000
1290.000,856.000
1300.000,856.000
1306.000,856.000
1308.000,860.000
1316.000,860.000
1322.000,858.000
1332.000,856.000
1338.000,856.000
1342.000,856.000
1352.000,850.000
1354.000,854.000
1360.000,852.000
1366.000,850.000
1374.000,848.000
1380.000,848.000
1380.000,850.000
1384.000,850.000
1390.000,848.000
1394.000,846.000
1396.000,846.000
1402.000,846.000
1404.000,846.000
1408.000,846.000
1408.000,846.000
1410.000,846.000
1412.000,846.000
1414.000,846.000
1414.000,844.000
1414.000,846.000
1414.000,846.000
1414.000,846.000
1416.000,844.000
1418.000,846.000
1418.000,844.000
1418.000,846.000
1420.000,842.000
1420.000,844.000
1420.000,844.000
1424.000,844.000
1426.000,842.000
1430.000,842.000
1432.000,844.000
1436.000,842.000
1442.000,840.000
1444.000,840.000
1446.000,838.000
1450.000,836.000
1450.000,836.000
1450.000,840.000
1450.000,836.000
1450.000,836.000
1448.000,838.000
1444.000,838.000
1442.000,840.000
1440.000,842.000
1444.000,848.000
1442.000,850.000
1436.000,842.000
1434.000,844.000
1434.000,842.000
1434.000,842.000
1438.000,850.000
1434.000,840.000
1438.000,850.000
1432.000,844.000
1438.000,850.000
1438.000,850.000
1432.000,844.000
1434.000,842.000
1434.000,842.000
1438.000,842.000
1442.000,848.000
1438.000,842.000
1440.000,840.000
1440.000,840.000
1440.000,840.000
1440.000,842.000
1440.000,840.000
1442.000,840.000
1442.000,842.000
1440.000,842.000
1442.000,840.000
1442.000,844.000
1442.000,844.000
1442.000,840.000
1442.000,842.000
1442.000,840.000
1442.000,840.000
1444.000,840.000
1440.000,842.000
